,date,unidad
5015,2022-08-16 20:00:00,24
5016,2022-08-16 22:00:00,40
5017,2022-08-16 23:00:00,69
5018,2022-08-17 09:00:00,1
5019,2022-08-17 14:52:07,1
5020,2022-08-17 17:00:00,20
5021,2022-08-17 20:00:00,13
5022,2022-08-17 22:00:00,4
5023,2022-08-17 23:00:00,455
5024,2022-08-18 11:25:03,74
5025,2022-08-18 12:22:39,1
5026,2022-08-18 15:00:00,1
5027,2022-08-18 16:00:00,36
5028,2022-08-18 17:00:00,14
5029,2022-08-18 18:00:00,1
5030,2022-08-18 20:00:00,12
5031,2022-08-18 22:00:00,2
5032,2022-08-18 23:00:00,304
5033,2022-08-19 14:00:00,1
5034,2022-08-19 15:00:00,1
5035,2022-08-19 16:00:00,36
5036,2022-08-19 17:00:00,26
5037,2022-08-19 20:00:00,11
5038,2022-08-19 22:00:00,4
5039,2022-08-19 23:00:00,91
5040,2022-08-21 18:53:54,49
5041,2022-08-22 13:37:09,1
5042,2022-08-22 15:00:00,1
5043,2022-08-22 17:00:00,29
5044,2022-08-22 20:00:00,3
5045,2022-08-22 22:00:00,4
5046,2022-08-22 23:00:00,207
5047,2022-08-23 15:00:00,1
5048,2022-08-23 16:00:00,31
5049,2022-08-23 17:00:00,24
5050,2022-08-23 20:00:00,3
5051,2022-08-23 22:00:00,13
5052,2022-08-23 23:00:00,172
5053,2022-08-24 17:00:00,17
5054,2022-08-24 20:00:00,20
5055,2022-08-24 22:00:00,329
5056,2022-08-24 23:00:00,58
5057,2022-08-25 11:06:34,45
5058,2022-08-25 12:35:29,59
5059,2022-08-25 16:00:00,65
5060,2022-08-25 17:00:00,55
5061,2022-08-25 20:00:00,1
5062,2022-08-25 22:00:00,7
5063,2022-08-25 23:00:00,164
5064,2022-08-26 14:52:07,2
5065,2022-08-26 17:00:00,48
5066,2022-08-26 20:00:00,9
5067,2022-08-26 22:00:00,4
5068,2022-08-26 23:00:00,38
5069,2022-08-28 15:00:00,1
5070,2022-08-29 11:30:21,59
5071,2022-08-29 16:00:00,75
5072,2022-08-29 17:00:00,41
5073,2022-08-29 18:00:00,1
5074,2022-08-29 20:00:00,1
5075,2022-08-29 22:00:00,4
5076,2022-08-29 23:00:00,143
5077,2022-08-30 13:26:22,30
5078,2022-08-30 17:00:00,26
5079,2022-08-30 20:00:00,3
5080,2022-08-30 22:00:00,29
5081,2022-08-30 23:00:00,63
5082,2022-08-31 10:02:05,3
5083,2022-08-31 16:00:00,91
5084,2022-08-31 17:00:00,44
5085,2022-08-31 20:00:00,4
5086,2022-08-31 22:00:00,6
5087,2022-08-31 23:00:00,168
5088,2022-08-31 23:29:12,45
5089,2022-09-01 15:00:00,2
5090,2022-09-01 16:00:00,69
5091,2022-09-01 17:00:00,47
5092,2022-09-01 20:00:00,34
5093,2022-09-01 22:00:00,9
5094,2022-09-01 23:00:00,133
5095,2022-09-02 00:00:00,1
5096,2022-09-02 12:00:00,1
5097,2022-09-02 17:00:00,38
5098,2022-09-02 20:00:00,4
5099,2022-09-02 22:00:00,11
5100,2022-09-02 23:00:00,30
5101,2022-09-03 15:19:33,44
5102,2022-09-04 15:00:00,1
5103,2022-09-05 16:00:00,203
5104,2022-09-05 17:00:00,35
5105,2022-09-05 20:00:00,19
5106,2022-09-05 22:00:00,5
5107,2022-09-05 23:00:00,76
5108,2022-09-06 12:19:19,50
5109,2022-09-06 16:00:00,55
5110,2022-09-06 17:00:00,35
5111,2022-09-06 20:00:00,2
5112,2022-09-06 22:00:00,38
5113,2022-09-06 23:00:00,89
5114,2022-09-07 15:00:00,1
5115,2022-09-07 16:00:00,72
5116,2022-09-07 17:00:00,25
5117,2022-09-07 20:00:00,20
5118,2022-09-07 22:00:00,61
5119,2022-09-07 23:00:00,71
5120,2022-09-08 10:41:25,65
5121,2022-09-08 16:00:00,149
5122,2022-09-08 17:00:00,32
5123,2022-09-08 20:00:00,52
5124,2022-09-08 22:00:00,6
5125,2022-09-08 23:00:00,96
5126,2022-09-09 12:17:31,7
5127,2022-09-09 13:17:28,3
5128,2022-09-09 16:00:00,134
5129,2022-09-09 17:00:00,28
5130,2022-09-09 22:00:00,33
5131,2022-09-09 23:00:00,105
5132,2022-09-12 00:00:00,4
5133,2022-09-12 09:28:39,49
5134,2022-09-12 09:29:06,47
5135,2022-09-12 15:42:10,2
5136,2022-09-12 16:00:00,85
5137,2022-09-12 17:00:00,43
5138,2022-09-12 20:00:00,3
5139,2022-09-12 22:00:00,15
5140,2022-09-12 23:00:00,126
5141,2022-09-13 00:00:00,2
5142,2022-09-13 15:00:00,2
5143,2022-09-13 15:10:00,1
5144,2022-09-13 16:00:00,61
5145,2022-09-13 17:00:00,22
5146,2022-09-13 20:00:00,43
5147,2022-09-13 22:00:00,28
5148,2022-09-13 23:00:00,82
5149,2022-09-14 10:44:08,32
5150,2022-09-14 10:44:34,44
5151,2022-09-14 12:10:00,1
5152,2022-09-14 12:17:22,2
5153,2022-09-14 16:00:00,103
5154,2022-09-14 17:00:00,59
5155,2022-09-14 20:00:00,25
5156,2022-09-14 22:00:00,8
5157,2022-09-14 23:00:00,140
5158,2022-09-15 00:00:00,11
5159,2022-09-15 15:00:00,2
5160,2022-09-15 16:00:00,75
5161,2022-09-15 17:00:00,37
5162,2022-09-15 20:00:00,1
5163,2022-09-15 22:00:00,4
5164,2022-09-15 23:00:00,106
5165,2022-09-16 09:20:00,1
5166,2022-09-16 15:08:24,69
5167,2022-09-16 16:00:00,70
5168,2022-09-16 17:00:00,53
5169,2022-09-16 20:00:00,4
5170,2022-09-16 22:00:00,8
5171,2022-09-16 23:00:00,140
5172,2022-09-19 14:47:04,2
5173,2022-09-19 16:00:00,65
5174,2022-09-19 17:00:00,76
5175,2022-09-19 20:00:00,7
5176,2022-09-19 22:00:00,11
5177,2022-09-19 23:00:00,79
5178,2022-09-20 17:00:00,53
5179,2022-09-20 20:00:00,18
5180,2022-09-20 22:00:00,13
5181,2022-09-20 23:00:00,23
5182,2022-09-21 12:00:00,1
5183,2022-09-21 15:00:00,1
5184,2022-09-21 16:00:00,60
5185,2022-09-21 17:00:00,58
5186,2022-09-21 20:00:00,1
5187,2022-09-21 22:00:00,31
5188,2022-09-21 23:00:00,224
5189,2022-09-22 00:00:00,17
5190,2022-09-22 15:00:00,2
5191,2022-09-22 16:00:00,64
5192,2022-09-22 17:00:00,27
5193,2022-09-22 20:00:00,33
5194,2022-09-22 22:00:00,4
5195,2022-09-22 23:00:00,79
5196,2022-09-23 00:00:00,1
5197,2022-09-23 13:17:21,2
5198,2022-09-23 13:52:09,1
5199,2022-09-23 14:37:20,5
5200,2022-09-23 17:00:00,25
5201,2022-09-23 20:00:00,4
5202,2022-09-23 22:00:00,8
5203,2022-09-23 23:00:00,48
5204,2022-09-25 15:00:00,1
5205,2022-09-26 14:52:27,1
5206,2022-09-26 16:00:00,74
5207,2022-09-26 17:00:00,42
5208,2022-09-26 20:00:00,20
5209,2022-09-26 22:00:00,14
5210,2022-09-26 23:00:00,77
5211,2022-09-27 15:00:00,1
5212,2022-09-27 17:00:00,24
5213,2022-09-27 20:00:00,4
5214,2022-09-27 22:00:00,32
5215,2022-09-27 23:00:00,380
5216,2022-09-28 00:00:00,1
5217,2022-09-28 10:32:20,1
5218,2022-09-28 15:00:00,1
5219,2022-09-28 16:00:00,79
5220,2022-09-28 17:00:00,20
5221,2022-09-28 20:00:00,1
5222,2022-09-28 22:00:00,11
5223,2022-09-28 23:00:00,162
5224,2022-09-29 15:00:00,1
5225,2022-09-29 16:00:00,81
5226,2022-09-29 17:00:00,36
5227,2022-09-29 20:00:00,43
5228,2022-09-29 22:00:00,3
5229,2022-09-29 23:00:00,89
5230,2022-09-30 11:07:13,5
5231,2022-09-30 13:57:16,1
5232,2022-09-30 17:00:00,45
5233,2022-09-30 20:00:00,2
5234,2022-09-30 22:00:00,21
5235,2022-09-30 23:00:00,40
5236,2022-10-03 16:00:00,62
5237,2022-10-03 20:00:00,5
5238,2022-10-03 22:00:00,81
5239,2022-10-03 23:00:00,87
5240,2022-10-04 00:00:00,2
5241,2022-10-04 15:00:00,1
5242,2022-10-04 17:00:00,32
5243,2022-10-04 20:00:00,21
5244,2022-10-04 22:00:00,55
5245,2022-10-04 23:00:00,57
5246,2022-10-05 10:07:09,4
5247,2022-10-05 16:00:00,80
5248,2022-10-05 17:00:00,123
5249,2022-10-05 20:00:00,8
5250,2022-10-05 22:00:00,10
5251,2022-10-05 23:00:00,185
